date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-12-15,27.01,25.87,27.16,25.73,51568.0,27.01,25.87,27.16,25.73
2023-12-18,25.72,25.69,26.6,25.33,29095.0,25.72,25.69,26.6,25.33
2023-12-19,25.78,25.54,25.9,25.3,19124.0,25.78,25.54,25.9,25.3
2023-12-20,25.78,25.49,26.13,25.49,22756.0,25.78,25.49,26.13,25.49
2023-12-21,25.55,25.51,25.8,24.98,19810.0,25.55,25.51,25.8,24.98
2023-12-22,25.47,25.75,25.76,25.3,19270.0,25.47,25.75,25.76,25.3
2023-12-25,25.79,26.09,26.35,25.05,32145.0,25.79,26.09,26.35,25.05
2023-12-26,25.9,24.96,25.91,24.9,23992.0,25.9,24.96,25.91,24.9
2023-12-27,24.88,24.86,25.38,24.66,14570.0,24.88,24.86,25.38,24.66
2023-12-28,25.01,25.29,25.44,24.6,17507.0,25.01,25.29,25.44,24.6
2023-12-29,25.48,25.63,25.71,25.21,12649.0,25.48,25.63,25.71,25.21
2024-01-02,25.6,25.81,26.2,25.48,15732.0,25.6,25.81,26.2,25.48
2024-01-03,25.7,25.97,26.74,25.7,22285.0,25.7,25.97,26.74,25.7
2024-01-04,26.0,25.92,26.28,25.75,11622.0,26.0,25.92,26.28,25.75
2024-01-05,26.15,25.39,26.15,25.3,11222.0,26.15,25.39,26.15,25.3
2024-01-08,25.3,24.54,25.4,24.53,14078.0,25.3,24.54,25.4,24.53
2024-01-09,24.9,24.73,25.15,24.5,8734.0,24.9,24.73,25.15,24.5
2024-01-10,24.86,24.48,24.95,24.4,8559.0,24.86,24.48,24.95,24.4
2024-01-11,24.4,24.78,24.95,24.38,10097.0,24.4,24.78,24.95,24.38
2024-01-12,24.6,24.46,25.03,24.44,9365.0,24.6,24.46,25.03,24.44
2024-01-15,24.37,24.6,25.26,24.32,14458.0,24.37,24.6,25.26,24.32
2024-01-16,24.54,24.3,24.68,24.0,11645.0,24.54,24.3,24.68,24.0
2024-01-17,24.4,23.69,24.4,23.69,8828.0,24.4,23.69,24.4,23.69
2024-01-18,23.68,23.28,23.68,22.5,18603.0,23.68,23.28,23.68,22.5
2024-01-19,23.31,23.06,23.46,23.05,8093.0,23.31,23.06,23.46,23.05
2024-01-22,23.07,21.4,23.23,21.23,18353.0,23.07,21.4,23.23,21.23
2024-01-23,21.4,21.25,21.49,20.9,12066.0,21.4,21.25,21.49,20.9
2024-01-24,21.32,21.36,21.66,20.4,14178.0,21.32,21.36,21.66,20.4
2024-01-25,21.62,22.32,22.37,21.22,15582.0,21.62,22.32,22.37,21.22
2024-01-26,22.34,22.21,22.75,22.07,13025.0,22.34,22.21,22.75,22.07
2024-01-29,22.43,21.81,22.65,21.78,12884.0,22.43,21.81,22.65,21.78
2024-01-30,21.75,20.89,21.81,20.85,10036.0,21.75,20.89,21.81,20.85
2024-01-31,20.89,19.3,20.98,19.2,18406.0,20.89,19.3,20.98,19.2
2024-02-01,19.06,19.29,19.72,18.68,16738.0,19.06,19.29,19.72,18.68
2024-02-02,19.25,17.96,19.63,17.22,21917.0,19.25,17.96,19.63,17.22
2024-02-05,17.78,16.6,17.78,15.4,27745.0,17.78,16.6,17.78,15.4
2024-02-06,16.72,16.85,17.21,15.42,26106.0,16.72,16.85,17.21,15.42
2024-02-07,16.86,16.08,17.15,15.92,24208.0,16.86,16.08,17.15,15.92
2024-02-08,16.16,17.42,17.65,15.48,31944.0,16.16,17.42,17.65,15.48
2024-02-19,17.49,18.1,18.34,17.49,20032.0,17.49,18.1,18.34,17.49
2024-02-20,18.19,18.4,18.66,17.9,15846.0,18.19,18.4,18.66,17.9
2024-02-21,18.33,18.41,18.82,18.04,19756.0,18.33,18.41,18.82,18.04
2024-02-22,18.29,18.72,18.76,18.29,14434.0,18.29,18.72,18.76,18.29
2024-02-23,18.84,19.04,19.06,18.59,16689.0,18.84,19.04,19.06,18.59
2024-02-26,19.25,20.21,20.55,19.09,33706.0,19.25,20.21,20.55,19.09
2024-02-27,20.1,20.81,21.26,19.63,35661.0,20.1,20.81,21.26,19.63
2024-02-28,20.8,19.0,21.4,19.0,39435.0,20.8,19.0,21.4,19.0
2024-02-29,19.01,19.69,19.74,18.8,24011.0,19.01,19.69,19.74,18.8
2024-03-01,19.88,19.55,19.88,19.27,22019.0,19.88,19.55,19.88,19.27
2024-03-04,19.57,20.46,20.49,19.42,29850.0,19.57,20.46,20.49,19.42
2024-03-05,20.41,19.68,20.41,19.63,21517.0,20.41,19.68,20.41,19.63
2024-03-06,19.68,19.52,19.89,19.32,13422.0,19.68,19.52,19.89,19.32
2024-03-07,19.52,19.05,19.62,19.05,13693.0,19.52,19.05,19.62,19.05
2024-03-08,19.12,19.17,19.44,18.93,12617.0,19.12,19.17,19.44,18.93
2024-03-11,19.16,19.33,19.35,19.02,20267.0,19.16,19.33,19.35,19.02
2024-03-12,19.36,20.43,20.5,19.35,38839.0,19.36,20.43,20.5,19.35
2024-03-13,20.43,20.07,20.48,19.8,24390.0,20.43,20.07,20.48,19.8
2024-03-14,21.0,20.1,21.31,19.98,28412.0,21.0,20.1,21.31,19.98
2024-03-15,20.0,20.62,20.65,19.99,28404.0,20.0,20.62,20.65,19.99
2024-03-18,20.35,20.92,20.99,20.1,34210.0,20.35,20.92,20.99,20.1
2024-03-19,20.87,20.44,20.95,20.35,27564.0,20.87,20.44,20.95,20.35
2024-03-20,20.36,20.5,20.73,20.31,18737.0,20.36,20.5,20.73,20.31
2024-03-21,20.57,20.24,20.76,20.08,15920.0,20.57,20.24,20.76,20.08
2024-03-22,20.5,19.81,20.5,19.55,18858.0,20.5,19.81,20.5,19.55
2024-03-25,19.61,18.93,19.8,18.93,21348.0,19.61,18.93,19.8,18.93
2024-03-26,18.93,18.76,19.15,18.43,18044.0,18.93,18.76,19.15,18.43
2024-03-27,18.79,18.73,19.26,18.67,16625.0,18.79,18.73,19.26,18.67
2024-03-28,18.67,18.68,18.96,18.28,18268.0,18.67,18.68,18.96,18.28
2024-03-29,18.73,18.89,18.94,18.53,11969.0,18.73,18.89,18.94,18.53
2024-04-01,19.3,19.32,19.39,18.97,13428.0,19.3,19.32,19.39,18.97
2024-04-02,19.31,19.01,19.31,18.92,11753.0,19.31,19.01,19.31,18.92
2024-04-03,19.0,18.87,19.05,18.53,12635.0,19.0,18.87,19.05,18.53
2024-04-08,18.89,18.0,18.89,17.98,16391.0,18.89,18.0,18.89,17.98
2024-04-09,18.11,18.71,18.72,17.88,17030.0,18.11,18.71,18.72,17.88
2024-04-10,18.53,18.05,18.65,17.95,11705.0,18.53,18.05,18.65,17.95
2024-04-11,18.0,17.52,18.1,17.51,15112.0,18.0,17.52,18.1,17.51
2024-04-12,17.48,17.31,17.74,17.3,14413.0,17.48,17.31,17.74,17.3
2024-04-15,17.07,16.37,17.3,16.03,22755.0,17.07,16.37,17.3,16.03
2024-04-16,16.2,14.84,16.32,14.72,30322.0,16.2,14.84,16.32,14.72
2024-04-17,15.13,15.92,15.96,15.09,27872.0,15.13,15.92,15.96,15.09
2024-04-18,15.92,15.65,16.07,15.52,17382.0,15.92,15.65,16.07,15.52
2024-04-19,15.73,16.23,16.23,15.36,21652.0,15.73,16.23,16.23,15.36
2024-04-22,17.06,15.73,17.06,15.72,33846.0,17.06,15.73,17.06,15.72
2024-04-23,15.38,16.3,16.49,15.38,33339.0,15.38,16.3,16.49,15.38
2024-04-24,16.27,16.52,16.58,16.12,17864.0,16.27,16.52,16.58,16.12
2024-04-25,16.39,17.11,17.27,16.39,25453.0,16.39,17.11,17.27,16.39
2024-04-26,16.95,16.88,17.2,16.72,26473.0,16.95,16.88,17.2,16.72
2024-04-29,16.74,17.55,17.63,16.74,25485.0,16.74,17.55,17.63,16.74
2024-04-30,17.79,17.94,18.1,17.43,25206.0,17.79,17.94,18.1,17.43
2024-05-06,18.25,18.71,18.76,18.01,29201.0,18.25,18.71,18.76,18.01
2024-05-07,18.71,18.53,18.8,18.11,22042.0,18.71,18.53,18.8,18.11
2024-05-08,18.64,18.78,19.4,18.53,33719.0,18.64,18.78,19.4,18.53
2024-05-09,18.79,18.88,19.3,18.48,26531.0,18.79,18.88,19.3,18.48
2024-05-10,19.07,18.41,19.17,18.41,18792.0,19.07,18.41,19.17,18.41
2024-05-13,18.35,18.16,18.64,18.09,20555.0,18.35,18.16,18.64,18.09
2024-05-14,18.08,18.26,18.55,18.01,13676.0,18.08,18.26,18.55,18.01
2024-05-15,18.24,17.93,18.24,17.92,8891.0,18.24,17.93,18.24,17.92
2024-05-16,17.86,17.84,18.15,17.8,8415.0,17.86,17.84,18.15,17.8
2024-05-17,17.9,18.04,18.12,17.79,11467.0,17.9,18.04,18.12,17.79
2024-05-20,18.0,18.0,18.36,17.95,10960.0,18.0,18.0,18.36,17.95
2024-05-21,17.99,17.55,18.12,17.41,15676.0,17.99,17.55,18.12,17.41
2024-05-22,18.15,17.9,18.4,17.71,15629.0,18.15,17.9,18.4,17.71
2024-05-23,17.88,17.41,17.88,17.39,13055.0,17.88,17.41,17.88,17.39
2024-05-24,17.5,17.28,17.68,17.2,8926.0,17.5,17.28,17.68,17.2
2024-05-27,17.4,17.16,17.6,16.8,14568.0,17.4,17.16,17.6,16.8
2024-05-28,17.21,17.02,17.21,16.9,9773.0,17.21,17.02,17.21,16.9
2024-05-29,17.02,16.88,17.13,16.8,11016.0,17.02,16.88,17.13,16.8
2024-05-30,17.04,17.0,17.14,16.7,11387.0,17.04,17.0,17.14,16.7
2024-05-31,17.11,17.29,17.45,16.94,13066.0,17.11,17.29,17.45,16.94
2024-06-03,17.33,16.66,17.33,16.51,19455.0,17.33,16.66,17.33,16.51
2024-06-04,16.66,16.39,16.66,16.16,14695.0,16.66,16.39,16.66,16.16
2024-06-05,16.39,16.09,16.45,16.08,9624.0,16.39,16.09,16.45,16.08
2024-06-06,16.21,15.21,16.56,15.1,21799.0,16.21,15.21,16.56,15.1
2024-06-07,15.65,15.87,15.96,15.32,21133.0,15.65,15.87,15.96,15.32
2024-06-11,15.77,16.14,16.17,15.47,11953.0,15.77,16.14,16.17,15.47
2024-06-12,16.16,16.63,16.8,16.0,18856.0,16.16,16.63,16.8,16.0
2024-06-13,16.63,16.38,16.63,16.22,10833.0,16.63,16.38,16.63,16.22
2024-06-14,16.42,16.11,16.46,16.04,9480.0,16.42,16.11,16.46,16.04
2024-06-17,16.1,16.04,16.2,15.96,7184.0,16.1,16.04,16.2,15.96
2024-06-18,16.0,16.05,16.19,15.92,7318.0,16.0,16.05,16.19,15.92
2024-06-19,16.05,15.92,16.18,15.88,6364.0,16.05,15.92,16.18,15.88
2024-06-20,15.93,16.05,16.29,15.68,13593.0,15.93,16.05,16.29,15.68
2024-06-21,16.0,17.22,17.37,15.35,41191.0,16.0,17.22,17.37,15.35
2024-06-24,16.89,16.0,16.91,15.57,36589.0,16.89,16.0,16.91,15.57
2024-06-25,15.8,15.64,16.31,15.44,25549.0,15.8,15.64,16.31,15.44
2024-06-26,15.5,16.21,16.25,15.5,21348.0,15.5,16.21,16.25,15.5
2024-06-27,16.03,15.9,16.47,15.9,16188.0,16.03,15.9,16.47,15.9
2024-06-28,15.81,15.71,16.14,15.58,19416.0,15.81,15.71,16.14,15.58
2024-07-01,15.71,15.8,15.94,15.55,10509.0,15.71,15.8,15.94,15.55
2024-07-02,15.85,16.55,16.7,15.76,27594.0,15.85,16.55,16.7,15.76
2024-07-03,16.5,16.47,16.85,16.33,12646.0,16.5,16.47,16.85,16.33
2024-07-04,16.63,15.79,16.63,15.62,15430.0,16.63,15.79,16.63,15.62
2024-07-05,15.79,16.35,16.45,15.66,20565.0,15.79,16.35,16.45,15.66
2024-07-08,16.34,15.76,16.46,15.73,11935.0,16.34,15.76,16.46,15.73
2024-07-09,15.76,15.83,15.92,15.28,15708.0,15.76,15.83,15.92,15.28
2024-07-10,15.86,15.81,16.16,15.71,10104.0,15.86,15.81,16.16,15.71
2024-07-11,15.97,16.12,16.31,15.9,11874.0,15.97,16.12,16.31,15.9
2024-07-12,16.1,16.08,16.45,16.0,13697.0,16.1,16.08,16.45,16.0
2024-07-15,16.01,15.7,16.01,15.62,10813.0,16.01,15.7,16.01,15.62
2024-07-16,15.71,15.25,15.77,15.16,16695.0,15.71,15.25,15.77,15.16
2024-07-17,15.31,15.24,15.39,15.18,9350.0,15.31,15.24,15.39,15.18
2024-07-18,15.23,15.08,15.25,14.72,13828.0,15.23,15.08,15.25,14.72
2024-07-19,15.08,15.21,15.38,14.85,9347.0,15.08,15.21,15.38,14.85
2024-07-22,15.38,15.57,15.7,15.18,14786.0,15.38,15.57,15.7,15.18
2024-07-23,15.58,14.97,15.61,14.96,13000.0,15.58,14.97,15.61,14.96
2024-07-24,14.97,14.34,14.97,14.3,17040.0,14.97,14.34,14.97,14.3
2024-07-25,14.39,14.52,14.69,14.16,10617.0,14.39,14.52,14.69,14.16
2024-07-26,14.65,14.38,14.65,14.3,11496.0,14.65,14.38,14.65,14.3
2024-07-29,14.39,14.37,14.44,14.16,7349.0,14.39,14.37,14.44,14.16
2024-07-30,14.4,14.49,14.61,14.21,6984.0,14.4,14.49,14.61,14.21
2024-07-31,14.53,15.13,15.15,14.27,17831.0,14.53,15.13,15.15,14.27
2024-08-01,15.13,15.22,15.48,15.13,13098.0,15.13,15.22,15.48,15.13
2024-08-02,15.22,15.47,16.23,15.17,31498.0,15.22,15.47,16.23,15.17
2024-08-05,15.32,15.47,16.01,15.32,26815.0,15.32,15.47,16.01,15.32
2024-08-06,15.41,17.44,18.5,15.41,71576.0,15.41,17.44,18.5,15.41
2024-08-07,17.15,17.87,18.2,16.62,81569.0,17.15,17.87,18.2,16.62
2024-08-08,17.82,18.89,19.2,17.57,100939.0,17.82,18.89,19.2,17.57
2024-08-09,18.46,17.97,18.56,17.7,63799.0,18.46,17.97,18.56,17.7
2024-08-12,20.1,21.56,21.56,20.0,81780.0,20.1,21.56,21.56,20.0
2024-08-13,24.87,20.4,24.87,20.2,211570.0,24.87,20.4,24.87,20.2
2024-08-14,19.37,24.48,24.48,19.37,246287.0,19.37,24.48,24.48,19.37
2024-08-15,26.0,27.6,29.0,23.8,310879.0,26.0,27.6,29.0,23.8
2024-08-16,26.72,26.8,30.0,25.7,301172.0,26.72,26.8,30.0,25.7
2024-08-19,25.64,23.0,25.64,22.28,244683.0,25.64,23.0,25.64,22.28
2024-08-20,22.72,23.18,24.5,22.16,166384.0,22.72,23.18,24.5,22.16
2024-08-21,22.3,20.07,22.3,19.68,179118.0,22.3,20.07,22.3,19.68
2024-08-22,19.9,18.86,20.18,18.68,144324.0,19.9,18.86,20.18,18.68
2024-08-23,18.63,18.34,19.06,18.14,108610.0,18.63,18.34,19.06,18.14
2024-08-26,18.19,18.15,18.42,17.69,66793.0,18.19,18.15,18.42,17.69
2024-08-27,18.0,18.46,19.55,18.0,113296.0,18.0,18.46,19.55,18.0
2024-08-28,17.93,17.87,18.55,17.74,86769.0,17.93,17.87,18.55,17.74
2024-08-29,17.79,17.87,18.22,17.52,55707.0,17.79,17.87,18.22,17.52
2024-08-30,17.8,18.23,18.42,17.7,62770.0,17.8,18.23,18.42,17.7
2024-09-02,18.31,17.69,18.61,17.65,63588.0,18.31,17.69,18.61,17.65
2024-09-03,17.77,17.58,17.92,17.33,43020.0,17.77,17.58,17.92,17.33
2024-09-04,17.56,17.25,17.67,17.2,44165.0,17.56,17.25,17.67,17.2
2024-09-05,17.32,17.77,18.45,17.25,68321.0,17.32,17.77,18.45,17.25
2024-09-06,17.96,18.76,19.0,17.71,122429.0,17.96,18.76,19.0,17.71
2024-09-09,19.42,18.4,19.6,18.3,116157.0,19.42,18.4,19.6,18.3
2024-09-10,18.48,18.38,19.2,17.8,74568.0,18.48,18.38,19.2,17.8
2024-09-11,18.49,18.6,19.24,18.25,68417.0,18.49,18.6,19.24,18.25
2024-09-12,18.45,18.68,18.88,18.45,51646.0,18.45,18.68,18.88,18.45
2024-09-13,18.61,18.43,18.91,18.36,44192.0,18.61,18.43,18.91,18.36
2024-09-18,18.23,17.97,18.5,17.7,36593.0,18.23,17.97,18.5,17.7
2024-09-19,18.0,19.28,20.75,17.88,117571.0,18.0,19.28,20.75,17.88
2024-09-20,19.24,18.42,19.4,18.27,90022.0,19.24,18.42,19.4,18.27
2024-09-23,18.8,18.08,18.91,18.0,58741.0,18.8,18.08,18.91,18.0
2024-09-24,18.04,18.41,18.41,17.8,57893.0,18.04,18.41,18.41,17.8
2024-09-25,18.42,18.82,19.12,18.3,80873.0,18.42,18.82,19.12,18.3
2024-09-26,18.59,19.07,19.08,18.43,61631.0,18.59,19.07,19.08,18.43
2024-09-27,19.3,20.08,20.54,19.3,93458.0,19.3,20.08,20.54,19.3
2024-09-30,21.0,23.15,23.58,20.52,130062.0,21.0,23.15,23.58,20.52
2024-10-08,27.75,26.38,27.75,23.57,151793.0,27.75,26.38,27.75,23.57
2024-10-09,25.16,21.8,25.16,21.68,110192.0,25.16,21.8,25.16,21.68
2024-10-10,22.14,22.44,24.2,22.14,93425.0,22.14,22.44,24.2,22.14
2024-10-11,22.25,21.36,22.68,21.08,71539.0,22.25,21.36,22.68,21.08
2024-10-14,22.1,23.16,23.58,21.33,81339.0,22.1,23.16,23.58,21.33
2024-10-15,23.11,23.22,24.3,22.48,82495.0,23.11,23.22,24.3,22.48
2024-10-16,23.2,27.86,27.86,22.85,206423.0,23.2,27.86,27.86,22.85
2024-10-17,29.19,26.38,29.2,25.84,214289.0,29.19,26.38,29.2,25.84
2024-10-18,26.37,28.56,29.29,26.0,178393.0,26.37,28.56,29.29,26.0
2024-10-21,28.06,32.93,33.84,28.0,205972.0,28.06,32.93,33.84,28.0
2024-10-22,32.61,33.11,35.86,31.94,214738.0,32.61,33.11,35.86,31.94
2024-10-23,32.53,31.3,33.9,30.97,146150.0,32.53,31.3,33.9,30.97
2024-10-24,31.02,31.77,32.8,31.0,115531.0,31.02,31.77,32.8,31.0
2024-10-25,32.5,32.89,33.6,31.74,123675.0,32.5,32.89,33.6,31.74
2024-10-28,32.45,34.88,35.25,32.45,119430.0,32.45,34.88,35.25,32.45
2024-10-29,34.88,33.42,35.0,33.02,88847.0,34.88,33.42,35.0,33.02
2024-10-30,33.23,32.08,33.8,31.5,79053.0,33.23,32.08,33.8,31.5
2024-10-31,32.0,31.8,32.66,31.5,59405.0,32.0,31.8,32.66,31.5
2024-11-01,31.35,29.8,31.88,29.39,96866.0,31.35,29.8,31.88,29.39
2024-11-04,29.8,30.57,31.15,29.4,51561.0,29.8,30.57,31.15,29.4
2024-11-05,30.67,30.4,30.98,30.22,57556.0,30.67,30.4,30.98,30.22
2024-11-06,30.36,29.5,30.88,29.28,86539.0,30.36,29.5,30.88,29.28
2024-11-07,29.43,30.2,30.73,29.1,62017.0,29.43,30.2,30.73,29.1
2024-11-08,30.3,29.69,30.96,29.3,68232.0,30.3,29.69,30.96,29.3
2024-11-11,29.56,30.61,30.98,29.55,69110.0,29.56,30.61,30.98,29.55
2024-11-12,30.64,30.54,31.8,30.31,90532.0,30.64,30.54,31.8,30.31
2024-11-13,30.31,30.5,31.13,29.81,52298.0,30.31,30.5,31.13,29.81
2024-11-14,30.35,32.0,32.5,30.35,92467.0,30.35,32.0,32.5,30.35
2024-11-15,32.13,30.72,32.99,30.42,81076.0,32.13,30.72,32.99,30.42
2024-11-18,31.2,28.32,32.58,27.7,102975.0,31.2,28.32,32.58,27.7
2024-11-19,27.81,28.2,28.53,27.11,80846.0,27.81,28.2,28.53,27.11
2024-11-20,28.28,28.59,29.25,27.98,48186.0,28.28,28.59,29.25,27.98
2024-11-21,28.88,28.53,28.98,27.89,42594.0,28.88,28.53,28.98,27.89
2024-11-22,28.33,26.73,28.44,26.66,61755.0,28.33,26.73,28.44,26.66
2024-11-25,26.73,27.5,27.65,26.54,37466.0,26.73,27.5,27.65,26.54
2024-11-26,27.33,27.06,28.16,27.01,26354.0,27.33,27.06,28.16,27.01
2024-11-27,27.04,27.43,27.45,26.31,25028.0,27.04,27.43,27.45,26.31
2024-11-28,27.36,27.43,27.77,27.23,25751.0,27.36,27.43,27.77,27.23
2024-11-29,28.1,27.67,28.42,27.21,34421.0,28.1,27.67,28.42,27.21
2024-12-02,27.27,27.85,27.93,27.27,26238.0,27.27,27.85,27.93,27.27
2024-12-03,27.7,27.16,27.87,26.91,28659.0,27.7,27.16,27.87,26.91
2024-12-04,27.0,26.8,27.56,26.72,27180.0,27.0,26.8,27.56,26.72
2024-12-05,26.9,26.36,27.0,26.16,35522.0,26.9,26.36,27.0,26.16
2024-12-06,26.49,31.63,31.63,26.49,132001.0,26.49,31.63,31.63,26.49
2024-12-09,33.0,32.87,33.43,31.0,156873.0,33.0,32.87,33.43,31.0
2024-12-10,32.8,34.5,37.96,32.08,185627.0,32.8,34.5,37.96,32.08
2024-12-11,33.5,34.02,35.99,33.49,115404.0,33.5,34.02,35.99,33.49
2024-12-12,33.69,34.62,34.99,33.52,85886.0,33.69,34.62,34.99,33.52
2024-12-13,34.04,33.27,34.88,33.15,80192.0,34.04,33.27,34.88,33.15
2024-12-16,33.8,31.9,34.24,31.28,92507.0,33.8,31.9,34.24,31.28
2024-12-17,31.8,30.18,31.95,29.8,61831.0,31.8,30.18,31.95,29.8
2024-12-18,30.27,30.05,30.69,29.28,38927.0,30.27,30.05,30.69,29.28
2024-12-19,29.72,29.82,30.63,29.5,35920.0,29.72,29.82,30.63,29.5
2024-12-20,29.71,30.53,30.79,29.6,42317.0,29.71,30.53,30.79,29.6
2024-12-23,30.53,29.16,30.53,29.05,39962.0,30.53,29.16,30.53,29.05
2024-12-24,29.46,32.46,33.35,29.24,96593.0,29.46,32.46,33.35,29.24
2024-12-25,32.55,32.57,33.0,31.45,64061.0,32.55,32.57,33.0,31.45
2024-12-26,32.57,32.56,33.33,32.02,56728.0,32.57,32.56,33.33,32.02
2024-12-27,32.46,31.8,32.79,31.8,45787.0,32.46,31.8,32.79,31.8
2024-12-30,31.54,33.44,33.71,31.12,72163.0,31.54,33.44,33.71,31.12
2024-12-31,33.6,32.67,35.28,32.26,76742.0,33.6,32.67,35.28,32.26
2025-01-02,33.32,31.25,34.3,30.56,60134.0,33.32,31.25,34.3,30.56
2025-01-03,31.49,29.93,31.76,29.8,51634.0,31.49,29.93,31.76,29.8
2025-01-06,30.0,31.19,32.84,28.99,61598.0,30.0,31.19,32.84,28.99
2025-01-07,30.6,33.45,33.5,30.19,94696.0,30.6,33.45,33.5,30.19
2025-01-08,33.47,34.5,34.69,32.92,88920.0,33.47,34.5,34.69,32.92
2025-01-09,33.92,34.2,35.11,33.8,65820.0,33.92,34.2,35.11,33.8
2025-01-10,33.81,32.23,34.89,32.17,61693.0,33.81,32.23,34.89,32.17
2025-01-13,32.04,31.89,32.81,31.33,37813.0,32.04,31.89,32.81,31.33
2025-01-14,32.0,33.35,33.4,31.93,49428.0,32.0,33.35,33.4,31.93
2025-01-15,33.1,32.38,33.25,32.02,31303.0,33.1,32.38,33.25,32.02
2025-01-16,32.33,33.32,33.45,32.23,36512.0,32.33,33.32,33.45,32.23
2025-01-17,33.03,35.15,35.28,32.98,79301.0,33.03,35.15,35.28,32.98
2025-01-20,35.0,35.86,36.57,34.41,68808.0,35.0,35.86,36.57,34.41
2025-01-21,35.51,36.4,36.47,35.0,56278.0,35.51,36.4,36.47,35.0
2025-01-22,35.66,35.16,36.18,34.76,50593.0,35.66,35.16,36.18,34.76
2025-01-23,36.05,34.48,36.48,34.48,52304.0,36.05,34.48,36.48,34.48
2025-01-24,34.5,34.55,35.4,34.46,37307.0,34.5,34.55,35.4,34.46
2025-01-27,34.15,33.03,34.75,32.6,38995.0,34.15,33.03,34.75,32.6
2025-02-05,33.03,33.05,33.8,32.72,29870.0,33.03,33.05,33.8,32.72
2025-02-06,32.8,33.31,33.56,32.61,32134.0,32.8,33.31,33.56,32.61
2025-02-07,33.1,33.87,34.3,33.01,37716.0,33.1,33.87,34.3,33.01
2025-02-10,33.91,33.32,33.97,33.0,43508.0,33.91,33.32,33.97,33.0
2025-02-11,33.32,31.85,33.32,31.58,54639.0,33.32,31.85,33.32,31.58
2025-02-12,31.71,32.06,32.17,31.58,27167.0,31.71,32.06,32.17,31.58
2025-02-13,32.1,31.48,32.5,31.47,25761.0,32.1,31.48,32.5,31.47
2025-02-14,31.38,31.84,32.97,31.38,35829.0,31.38,31.84,32.97,31.38
2025-02-17,31.92,31.0,32.0,30.68,44121.0,31.92,31.0,32.0,30.68
2025-02-18,30.92,31.29,32.69,30.48,45520.0,30.92,31.29,32.69,30.48
2025-02-19,31.3,31.04,31.4,30.59,33951.0,31.3,31.04,31.4,30.59
2025-02-20,30.89,31.44,31.74,30.89,27870.0,30.89,31.44,31.74,30.89
2025-02-21,31.19,32.77,33.48,31.19,65460.0,31.19,32.77,33.48,31.19
2025-02-24,32.58,34.85,35.01,32.18,82152.0,32.58,34.85,35.01,32.18
2025-02-25,34.38,33.85,34.52,33.47,43072.0,34.38,33.85,34.52,33.47
2025-02-26,34.18,33.82,34.84,33.25,40435.0,34.18,33.82,34.84,33.25
2025-02-27,33.86,34.76,35.68,33.6,57577.0,33.86,34.76,35.68,33.6
2025-02-28,34.43,32.46,34.43,32.4,39582.0,34.43,32.46,34.43,32.4
